08\02\2000,1.6118,1.5975,1.6141,1.5966,0.85
09\02\2000,1.6166,1.611,1.6174,1.6056,0.3
10\02\2000,1.6093,1.6164,1.6174,1.6043,-0.45
11\02\2000,1.5925,1.6095,1.6107,1.5872,-1.04
14\02\2000,1.587,1.5928,1.5971,1.5852,-0.35
15\02\2000,1.5968,1.5863,1.5983,1.5834,0.62
16\02\2000,1.6087,1.5963,1.6089,1.5938,0.75
17\02\2000,1.6085,1.6077,1.6141,1.6022,-0.01
18\02\2000,1.6017,1.6085,1.6094,1.5948,-0.42
21\02\2000,1.5999,1.599,1.6022,1.5965,-0.11
22\02\2000,1.6127,1.5998,1.6196,1.5995,0.8
23\02\2000,1.6038,1.6121,1.6153,1.601,-0.55
24\02\2000,1.6006,1.6038,1.6051,1.5967,-0.2
25\02\2000,1.5949,1.6002,1.6007,1.588,-0.36
28\02\2000,1.5958,1.5928,1.5979,1.5852,0.06
29\02\2000,1.5788,1.5959,1.5995,1.577,-1.07
01\03\2000,1.587,1.5786,1.5925,1.5748,0.52
02\03\2000,1.5763,1.5855,1.5874,1.5754,-0.67
03\03\2000,1.5787,1.576,1.5842,1.575,0.15
06\03\2000,1.5749,1.5776,1.5822,1.5708,-0.24
07\03\2000,1.5797,1.5745,1.5827,1.5688,0.3
08\03\2000,1.5807,1.5803,1.5876,1.5738,0.06
09\03\2000,1.5816,1.5811,1.5848,1.5775,0.06
10\03\2000,1.5763,1.5828,1.5839,1.575,-0.34
13\03\2000,1.5797,1.5762,1.5833,1.5755,0.22
14\03\2000,1.5772,1.5789,1.5798,1.5677,-0.16
15\03\2000,1.573,1.5773,1.5795,1.5692,-0.27
16\03\2000,1.5767,1.5735,1.5779,1.5685,0.24
17\03\2000,1.5743,1.5752,1.5768,1.5696,-0.15
20\03\2000,1.569,1.5755,1.5756,1.5646,-0.34
21\03\2000,1.5727,1.5698,1.5774,1.5652,0.24
22\03\2000,1.578,1.5714,1.5803,1.5611,0.34
23\03\2000,1.5877,1.5782,1.5901,1.5746,0.61
24\03\2000,1.5936,1.5868,1.5938,1.5834,0.37
27\03\2000,1.5879,1.5934,1.601,1.5835,-0.36
28\03\2000,1.5889,1.5874,1.5909,1.582,0.06
29\03\2000,1.5926,1.5888,1.5973,1.581,0.23
30\03\2000,1.596,1.5935,1.5977,1.5868,0.21
31\03\2000,1.5921,1.5948,1.599,1.5892,-0.24
03\04\2000,1.5973,1.5909,1.5993,1.5866,0.33
04\04\2000,1.5929,1.5964,1.6077,1.5921,-0.28
05\04\2000,1.5835,1.5924,1.5986,1.582,-0.59
06\04\2000,1.5802,1.5837,1.5894,1.5772,-0.21
07\04\2000,1.5793,1.5796,1.5861,1.5773,-0.06
10\04\2000,1.5855,1.5795,1.5859,1.5784,0.39
11\04\2000,1.5857,1.5847,1.5898,1.583,0.01
12\04\2000,1.5884,1.5858,1.589,1.582,0.17
13\04\2000,1.5864,1.5881,1.5932,1.5846,-0.13
14\04\2000,1.5882,1.5867,1.5918,1.5823,0.11
17\04\2000,1.5802,1.5888,1.5913,1.5794,-0.5
18\04\2000,1.5772,1.5804,1.5849,1.5742,-0.19
19\04\2000,1.5819,1.5767,1.5837,1.5748,0.3
20\04\2000,1.5797,1.5817,1.5829,1.5774,-0.14
21\04\2000,1.5775,1.5794,1.5822,1.5765,-0.14
24\04\2000,1.5795,1.576,1.5825,1.575,0.13
25\04\2000,1.5814,1.5798,1.5828,1.5728,0.12
26\04\2000,1.5755,1.5812,1.5824,1.5745,-0.37
27\04\2000,1.5721,1.5765,1.5813,1.5708,-0.22
28\04\2000,1.552,1.5725,1.5741,1.55,-1.28
01\05\2000,1.5539,1.552,1.5581,1.5514,0.12
02\05\2000,1.5605,1.5535,1.5673,1.5522,0.42
03\05\2000,1.5617,1.5607,1.5653,1.5556,0.08
04\05\2000,1.5421,1.5611,1.563,1.5352,-1.26
05\05\2000,1.5286,1.5419,1.5442,1.5245,-0.88
08\05\2000,1.533,1.5284,1.5361,1.5259,0.29
09\05\2000,1.531,1.5331,1.5371,1.5283,-0.13
10\05\2000,1.5125,1.5314,1.5334,1.5067,-1.21
11\05\2000,1.5044,1.5098,1.5122,1.4927,-0.54
12\05\2000,1.5174,1.5039,1.5202,1.5018,0.86
15\05\2000,1.5058,1.5221,1.523,1.5045,-0.76
16\05\2000,1.4944,1.5041,1.5065,1.4915,-0.76
17\05\2000,1.4964,1.4935,1.4987,1.4874,0.13
18\05\2000,1.4842,1.4956,1.4963,1.4762,-0.82
19\05\2000,1.4874,1.4829,1.4902,1.4741,0.22
22\05\2000,1.4915,1.4856,1.4969,1.4825,0.28
23\05\2000,1.4771,1.491,1.4931,1.4724,-0.97
24\05\2000,1.474,1.4764,1.4796,1.4677,-0.21
25\05\2000,1.4708,1.4732,1.4804,1.4662,-0.22
26\05\2000,1.4899,1.4703,1.4923,1.4697,1.3
29\05\2000,1.4927,1.4885,1.493,1.4856,0.19
30\05\2000,1.4977,1.4927,1.5044,1.4901,0.33
31\05\2000,1.5014,1.496,1.5019,1.4925,0.25
01\06\2000,1.4949,1.5002,1.502,1.4892,-0.43
02\06\2000,1.5103,1.4951,1.5134,1.4938,1.03
05\06\2000,1.5193,1.5079,1.5204,1.507,0.6
06\06\2000,1.5286,1.518,1.5318,1.5108,0.61
07\06\2000,1.5225,1.5279,1.5295,1.5182,-0.4
08\06\2000,1.5103,1.5217,1.5229,1.5054,-0.8
09\06\2000,1.5085,1.5095,1.5137,1.5,-0.12
12\06\2000,1.5135,1.509,1.5147,1.5034,0.33
13\06\2000,1.5062,1.513,1.5183,1.5058,-0.48
14\06\2000,1.499,1.5059,1.5112,1.4978,-0.48
15\06\2000,1.5114,1.4985,1.5143,1.4956,0.83
16\06\2000,1.5157,1.5109,1.5176,1.509,0.28
19\06\2000,1.5115,1.5136,1.5172,1.5105,-0.28
20\06\2000,1.518,1.5113,1.5205,1.5045,0.43
21\06\2000,1.4986,1.5185,1.5189,1.4937,-1.28
22\06\2000,1.5128,1.4989,1.5161,1.4967,0.95
23\06\2000,1.5006,1.5119,1.5135,1.498,-0.81
26\06\2000,1.4975,1.501,1.5041,1.496,-0.21
27\06\2000,1.5065,1.4965,1.5069,1.4932,0.6
28\06\2000,1.5133,1.5065,1.5147,1.5024,0.45
29\06\2000,1.5185,1.5125,1.5211,1.5108,0.34
30\06\2000,1.5172,1.5178,1.5212,1.5097,-0.09
03\07\2000,1.5137,1.5155,1.5187,1.509,-0.23
04\07\2000,1.5152,1.5136,1.5163,1.511,0.1
05\07\2000,1.5079,1.5143,1.5178,1.5068,-0.48
06\07\2000,1.5074,1.5068,1.5154,1.506,-0.03
07\07\2000,1.5138,1.5075,1.5174,1.5035,0.42
10\07\2000,1.5135,1.5126,1.5196,1.5099,-0.02
11\07\2000,1.5173,1.5135,1.5177,1.5107,0.25
12\07\2000,1.5064,1.5166,1.5182,1.505,-0.72
13\07\2000,1.5036,1.5062,1.5071,1.4978,-0.19
14\07\2000,1.5008,1.5032,1.5055,1.4966,-0.19
17\07\2000,1.4954,1.5002,1.5011,1.49,-0.36
